DISTANCE_M,ELEVATION_M,NAME
1141.861056,189.1637,Cottonwood Marble Canyon C
1151.144479,188.7092,Cottonwood Marble Canyon C
1160.427902,188.4019,Cottonwood Marble Canyon C
1169.711326,188.0956,Cottonwood Marble Canyon C
1178.994749,187.7942,Cottonwood Marble Canyon C
1188.278172,187.4938,Cottonwood Marble Canyon C
1197.561595,187.1876,Cottonwood Marble Canyon C
1206.845018,186.8855,Cottonwood Marble Canyon C
1216.128442,186.4639,Cottonwood Marble Canyon C
1225.411865,185.9599,Cottonwood Marble Canyon C
1234.695288,185.6383,Cottonwood Marble Canyon C
1243.978711,185.3006,Cottonwood Marble Canyon C
1253.262135,184.9497,Cottonwood Marble Canyon C
1262.545558,184.6458,Cottonwood Marble Canyon C
1271.828981,184.401,Cottonwood Marble Canyon C
1281.112404,184.1881,Cottonwood Marble Canyon C
1290.395827,183.9349,Cottonwood Marble Canyon C
1299.679251,183.5252,Cottonwood Marble Canyon C
1308.962674,182.7864,Cottonwood Marble Canyon C
1318.246097,182.3836,Cottonwood Marble Canyon C
1327.52952,181.9878,Cottonwood Marble Canyon C
1336.812944,181.5896,Cottonwood Marble Canyon C
1346.096367,181.1855,Cottonwood Marble Canyon C
1355.37979,180.776,Cottonwood Marble Canyon C
1364.663213,180.3653,Cottonwood Marble Canyon C
1373.946636,179.9332,Cottonwood Marble Canyon C
1383.23006,179.0889,Cottonwood Marble Canyon C
1392.513483,178.6641,Cottonwood Marble Canyon C
1401.796906,178.2526,Cottonwood Marble Canyon C
1411.080329,177.8443,Cottonwood Marble Canyon C
1420.363753,177.4467,Cottonwood Marble Canyon C
1429.647176,177.0609,Cottonwood Marble Canyon C
1438.930599,176.6883,Cottonwood Marble Canyon C
1448.214022,176.3305,Cottonwood Marble Canyon C
1457.497445,175.7097,Cottonwood Marble Canyon C
1466.780869,175.3169,Cottonwood Marble Canyon C
1476.064292,174.9813,Cottonwood Marble Canyon C
1485.347715,174.6485,Cottonwood Marble Canyon C
1494.631138,174.3172,Cottonwood Marble Canyon C
1503.914561,173.9825,Cottonwood Marble Canyon C
1513.197985,173.6398,Cottonwood Marble Canyon C
1522.481408,173.2942,Cottonwood Marble Canyon C
