DISTANCE_M,ELEVATION_M,NAME
1141.51703,190.8714,Cottonwood Marble Canyon R
1150.797656,190.4448,Cottonwood Marble Canyon R
1160.078283,190.0226,Cottonwood Marble Canyon R
1169.358909,189.5888,Cottonwood Marble Canyon R
1178.639535,188.9588,Cottonwood Marble Canyon R
1187.920161,188.5267,Cottonwood Marble Canyon R
1197.200788,188.1707,Cottonwood Marble Canyon R
1206.481414,187.8208,Cottonwood Marble Canyon R
1215.76204,187.4764,Cottonwood Marble Canyon R
1225.042666,187.1364,Cottonwood Marble Canyon R
1234.323293,186.7769,Cottonwood Marble Canyon R
1243.603919,186.4166,Cottonwood Marble Canyon R
1252.884545,186.0593,Cottonwood Marble Canyon R
1262.165171,185.7006,Cottonwood Marble Canyon R
1271.445798,185.38,Cottonwood Marble Canyon R
1280.726424,185.0196,Cottonwood Marble Canyon R
1290.00705,184.648,Cottonwood Marble Canyon R
1299.287676,184.3136,Cottonwood Marble Canyon R
1308.568303,184.0147,Cottonwood Marble Canyon R
1317.848929,183.6327,Cottonwood Marble Canyon R
1327.129555,183.1234,Cottonwood Marble Canyon R
1336.410181,182.5872,Cottonwood Marble Canyon R
1345.690808,182.0272,Cottonwood Marble Canyon R
1354.971434,181.4841,Cottonwood Marble Canyon R
1364.25206,180.9582,Cottonwood Marble Canyon R
1373.532687,180.4481,Cottonwood Marble Canyon R
1382.813313,179.8637,Cottonwood Marble Canyon R
1392.093939,179.0949,Cottonwood Marble Canyon R
1401.374565,178.5671,Cottonwood Marble Canyon R
1410.655192,178.048,Cottonwood Marble Canyon R
1419.935818,177.5418,Cottonwood Marble Canyon R
1429.216444,177.3021,Cottonwood Marble Canyon R
1438.49707,176.9363,Cottonwood Marble Canyon R
1447.777697,176.4601,Cottonwood Marble Canyon R
1457.058323,175.995,Cottonwood Marble Canyon R
1466.338949,175.5438,Cottonwood Marble Canyon R
1475.619575,175.1227,Cottonwood Marble Canyon R
1484.900202,174.6272,Cottonwood Marble Canyon R
1494.180828,174.1347,Cottonwood Marble Canyon R
1503.461454,173.764,Cottonwood Marble Canyon R
1512.74208,173.395,Cottonwood Marble Canyon R
1522.022707,173.0511,Cottonwood Marble Canyon R
1531.303333,172.6834,Cottonwood Marble Canyon R
1540.583959,172.2984,Cottonwood Marble Canyon R
1549.864585,171.8915,Cottonwood Marble Canyon R
1559.145212,171.5287,Cottonwood Marble Canyon R
1568.425838,171.5259,Cottonwood Marble Canyon R
1577.706464,171.3257,Cottonwood Marble Canyon R
1586.987091,170.9067,Cottonwood Marble Canyon R
1596.267717,170.3726,Cottonwood Marble Canyon R
1605.548343,169.7975,Cottonwood Marble Canyon R
1614.828969,169.348,Cottonwood Marble Canyon R
1624.109596,168.9262,Cottonwood Marble Canyon R
1633.390222,168.5251,Cottonwood Marble Canyon R
1642.670848,168.1441,Cottonwood Marble Canyon R
1651.951474,167.7724,Cottonwood Marble Canyon R
1661.232101,167.4098,Cottonwood Marble Canyon R
1670.512727,167.0573,Cottonwood Marble Canyon R
1679.793353,166.7163,Cottonwood Marble Canyon R
1689.073979,166.3888,Cottonwood Marble Canyon R
1698.354606,165.9372,Cottonwood Marble Canyon R
1707.635232,165.5247,Cottonwood Marble Canyon R
1716.915858,165.2675,Cottonwood Marble Canyon R
1726.196484,165.1047,Cottonwood Marble Canyon R
1735.477111,164.7933,Cottonwood Marble Canyon R
1744.757737,164.4732,Cottonwood Marble Canyon R
1754.038363,164.1593,Cottonwood Marble Canyon R
1763.318989,163.8392,Cottonwood Marble Canyon R
1772.599616,163.524,Cottonwood Marble Canyon R
1781.880242,163.2069,Cottonwood Marble Canyon R
1791.160868,162.8902,Cottonwood Marble Canyon R
1800.441495,162.4343,Cottonwood Marble Canyon R
1809.722121,162.0872,Cottonwood Marble Canyon R
1819.002747,161.7819,Cottonwood Marble Canyon R
1828.283373,161.4714,Cottonwood Marble Canyon R
1837.564,161.1685,Cottonwood Marble Canyon R
1846.844626,160.8195,Cottonwood Marble Canyon R
1856.125252,160.4123,Cottonwood Marble Canyon R
1865.405878,159.9241,Cottonwood Marble Canyon R
1874.686505,159.6154,Cottonwood Marble Canyon R
1883.967131,159.4493,Cottonwood Marble Canyon R
1893.247757,159.2748,Cottonwood Marble Canyon R
1902.528383,159.0928,Cottonwood Marble Canyon R
1911.80901,158.6289,Cottonwood Marble Canyon R
1921.089636,158.1906,Cottonwood Marble Canyon R
1930.370262,157.8074,Cottonwood Marble Canyon R
1939.650888,157.3912,Cottonwood Marble Canyon R
1948.931515,156.9819,Cottonwood Marble Canyon R
1958.212141,156.5731,Cottonwood Marble Canyon R
1967.492767,156.1674,Cottonwood Marble Canyon R
1976.773393,155.7649,Cottonwood Marble Canyon R
1986.05402,155.365,Cottonwood Marble Canyon R
1995.334646,154.9576,Cottonwood Marble Canyon R
2004.615272,154.4923,Cottonwood Marble Canyon R
2013.895898,153.8836,Cottonwood Marble Canyon R
2023.176525,153.5293,Cottonwood Marble Canyon R
2032.457151,153.319,Cottonwood Marble Canyon R
2041.737777,152.9145,Cottonwood Marble Canyon R
2051.018404,152.4621,Cottonwood Marble Canyon R
2060.29903,152.0326,Cottonwood Marble Canyon R
2069.579656,151.6006,Cottonwood Marble Canyon R
2078.860282,151.1778,Cottonwood Marble Canyon R
2088.140909,150.7658,Cottonwood Marble Canyon R
2097.421535,150.3597,Cottonwood Marble Canyon R
