DISTANCE_M,ELEVATION_M,NAME
1141.328945,189.1817,Cottonwood Marble Canyon L
1150.608043,188.8055,Cottonwood Marble Canyon L
1159.88714,188.421,Cottonwood Marble Canyon L
1169.166237,188.0352,Cottonwood Marble Canyon L
1178.445334,187.4471,Cottonwood Marble Canyon L
1187.724431,186.9545,Cottonwood Marble Canyon L
1197.003528,186.6038,Cottonwood Marble Canyon L
1206.282625,186.2725,Cottonwood Marble Canyon L
1215.561722,185.9552,Cottonwood Marble Canyon L
1224.84082,185.6432,Cottonwood Marble Canyon L
1234.119917,185.3583,Cottonwood Marble Canyon L
1243.399014,185.0993,Cottonwood Marble Canyon L
1252.678111,184.8135,Cottonwood Marble Canyon L
1261.957208,184.3069,Cottonwood Marble Canyon L
1271.236305,184.0179,Cottonwood Marble Canyon L
1280.515402,183.6803,Cottonwood Marble Canyon L
1289.794499,183.2825,Cottonwood Marble Canyon L
1299.073596,182.853,Cottonwood Marble Canyon L
1308.352694,182.3924,Cottonwood Marble Canyon L
1317.631791,181.9251,Cottonwood Marble Canyon L
1326.910888,181.4641,Cottonwood Marble Canyon L
1336.189985,181.0114,Cottonwood Marble Canyon L
1345.469082,180.4164,Cottonwood Marble Canyon L
1354.748179,179.7684,Cottonwood Marble Canyon L
1364.027276,179.3536,Cottonwood Marble Canyon L
1373.306373,178.9512,Cottonwood Marble Canyon L
1382.585471,178.6069,Cottonwood Marble Canyon L
1391.864568,178.2688,Cottonwood Marble Canyon L
1401.143665,177.9284,Cottonwood Marble Canyon L
1410.422762,177.5416,Cottonwood Marble Canyon L
1419.701859,177.1614,Cottonwood Marble Canyon L
1428.980956,176.5524,Cottonwood Marble Canyon L
1438.260053,176.1519,Cottonwood Marble Canyon L
1447.53915,175.8205,Cottonwood Marble Canyon L
1456.818247,175.4807,Cottonwood Marble Canyon L
1466.097345,175.1384,Cottonwood Marble Canyon L
1475.376442,174.8045,Cottonwood Marble Canyon L
1484.655539,174.4832,Cottonwood Marble Canyon L
1493.934636,174.1658,Cottonwood Marble Canyon L
1503.213733,173.7794,Cottonwood Marble Canyon L
1512.49283,173.244,Cottonwood Marble Canyon L
1521.771927,172.9189,Cottonwood Marble Canyon L
1531.051024,172.5642,Cottonwood Marble Canyon L
1540.330122,172.271,Cottonwood Marble Canyon L
1549.609219,172.0361,Cottonwood Marble Canyon L
1558.888316,171.7916,Cottonwood Marble Canyon L
1568.167413,171.4597,Cottonwood Marble Canyon L
1577.44651,171.0874,Cottonwood Marble Canyon L
1586.725607,170.462,Cottonwood Marble Canyon L
1596.004704,169.9374,Cottonwood Marble Canyon L
1605.283801,169.561,Cottonwood Marble Canyon L
1614.562898,169.1919,Cottonwood Marble Canyon L
1623.841996,168.8329,Cottonwood Marble Canyon L
1633.121093,168.4904,Cottonwood Marble Canyon L
1642.40019,168.1894,Cottonwood Marble Canyon L
1651.679287,167.8721,Cottonwood Marble Canyon L
1660.958384,167.4919,Cottonwood Marble Canyon L
1670.237481,166.809,Cottonwood Marble Canyon L
1679.516578,166.4398,Cottonwood Marble Canyon L
